method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 2,40,99.21674951046845,59.44424481973889,79.55314009661836,97.94750345372016,C1
SPM,ROI 2,40,97.34807484150302,69.78061716489876,83.39515167571864,94.40639269406392,C10
SPM,ROI 2,40,99.05608755129958,63.5578997842244,82.65038237644104,97.46323529411764,C11
SPM,ROI 2,40,29.581993569131832,97.12878423834694,72.93318233295584,84.06113537117903,C12
SPM,ROI 2,40,66.25,95.92995169082126,89.1044293566117,84.97913769123782,C13
SPM,ROI 2,40,69.75510204081633,96.88758696448188,93.0574462292404,84.26751592356688,C14
SPM,ROI 2,40,99.04908404418964,60.53773812394502,81.23172200240839,97.36280783401202,C15
SPM,ROI 2,40,98.01146672472603,64.65839257741897,82.15719673926269,95.1418439716312,C16
SPM,ROI 2,40,95.01852212907,77.89776817854572,84.10561739580636,92.70312723118664,C17
SPM,ROI 2,40,99.9114984001634,53.42449464922711,78.93293174850751,99.71149578339993,C18
SPM,ROI 2,40,98.52746086495092,60.696999031945786,82.05723124516628,95.76174112256588,C19
SPM,ROI 2,40,99.91139585605234,53.722114451988354,79.3407663996536,99.70747074707472,C2
SPM,ROI 2,40,95.59195948084836,81.03030303030303,88.52975666959836,92.30875448771056,C20
SPM,ROI 2,40,98.49498327759196,67.92902226985828,82.79343172960193,96.64520501524908,C21
SPM,ROI 2,40,41.41876430205949,97.58890898131403,84.44790046656298,84.05150036340983,C22
SPM,ROI 2,40,86.25411454904543,95.49691320663358,94.6266069622996,88.31299675361021,C23
SPM,ROI 2,40,99.93577392421324,53.3237341012719,78.26086956521739,99.79788906355266,C24
SPM,ROI 2,40,93.97743992153016,83.60911270983213,87.51370113262696,91.907209700804,C25
SPM,ROI 2,40,58.39727195225917,99.3716012084592,97.53203607024204,84.88696190771137,C3
SPM,ROI 2,40,88.28525040589484,93.56042368801155,92.96422935297213,89.23200551027438,C4
SPM,ROI 2,40,98.32552859372782,69.3887354389336,84.4639483147437,96.0758230794812,C5
SPM,ROI 2,40,99.88960847806888,53.72707787568469,77.7421387250129,99.66865473823724,C6
SPM,ROI 2,40,98.6970207159066,61.9573039098105,80.95466826778745,96.66916167664672,C7
SPM,ROI 2,40,58.75555555555556,96.45911116463928,87.08827404479578,85.1930645675992,C8
SPM,ROI 2,40,99.16065482796893,58.19534437245021,80.40384723550255,97.5658821162744,C9
SCC,ROI 2,80,99.9498603251916,53.14408911246856,78.10366058435017,99.84248424842484,C1
SCC,ROI 2,80,99.8859749144812,53.351012536162,80.29330889092576,99.5949594959496,C10
SCC,ROI 2,80,99.91690104832524,53.11675857108607,79.98669532289428,99.70747074707472,C11
SCC,ROI 2,80,99.934088321649,53.25564632388274,81.08318343137732,99.75247524752476,C12
SCC,ROI 2,80,99.84830097087378,53.369565217391305,80.9952746603662,99.43744374437443,C13
SCC,ROI 2,80,99.7278693773011,53.61894300012205,83.10360160071143,98.85238523852384,C14
SCC,ROI 2,80,99.84775269742502,53.30359295876538,79.56955214432664,99.48244824482448,C15
SCC,ROI 2,80,99.93022075615326,53.41607422581034,80.29461236556399,99.75247524752476,C16
SCC,ROI 2,80,99.92683640620427,53.20374370050395,77.78790295022212,99.77497749774976,C17
SCC,ROI 2,80,99.9114984001634,52.68727705112961,78.67059769498795,99.70747074707472,C18
SCC,ROI 2,80,99.85589047676234,53.484995159728946,81.2249682524177,99.45994599459948,C19
SCC,ROI 2,80,99.91139585605234,53.722114451988354,79.3407663996536,99.70747074707472,C2
SCC,ROI 2,80,99.79348595704508,53.442424242424245,81.49272429411198,99.21242124212422,C20
SCC,ROI 2,80,99.91551675584344,52.78075503155889,78.16269207468194,99.72997299729973,C21
SCC,ROI 2,80,99.87376635299518,53.30922242314647,81.79895671789087,99.5049504950495,C22
SCC,ROI 2,80,99.84282221446036,53.46810313521365,81.69087878066206,99.3924392439244,C23
SCC,ROI 2,80,99.93577392421324,53.21574274058075,78.22152711836006,99.7974797479748,C24
